Title,Note,URL,Tags,Comment
,,,,
Opus Coffee - Airstream,,https://www.google.com/maps/place/Opus+Coffee+-+Airstream/data=!4m2!3m1!1s0x88e8a38df8a98f49:0xf5d2d43627f569df,,
Coffee Culture,,https://www.google.com/maps/place/Coffee+Culture/data=!4m2!3m1!1s0x88e8a464ab6560f3:0x312480150a545afb,,
